date,pm25,pm10,o3,no2,so2,co,AQI
2019-08-05,62,31,9,1,1,5,154
2019-08-06,48,25,9,1,1,5,131
2019-08-07,41,27,15,1,1,5,114
2019-08-08,43,21,12,1,1,6,119
2019-08-09,35,15,15,1,1,4,99
2019-08-10,22,14,15,1,1,3,71
2019-08-11,23,16,14,1,1,3,73
2019-08-12,29,19,14,1,1,4,86
2019-08-13,36,23,15,1,1,5,102
2019-08-14,33,30,16,1,1,5,94
2019-08-15,53,26,12,1,1,5,144
2019-08-16,41,36,11,1,1,7,114
2019-08-17,82,39,12,1,1,6,164
2019-08-18,69,36,14,1,1,6,157
2019-08-19,82,35,11,1,1,6,164
2019-08-20,71,28,9,1,1,5,159
2019-08-21,49,21,10,1,1,5,134
2019-08-22,33,21,11,1,1,5,94
2019-08-23,35,27,13,1,1,5,99
2019-08-24,52,19,14,1,1,4,141
2019-08-25,39,17,12,1,1,5,109
2019-08-26,36,19,14,1,1,5,102
2019-08-27,48,21,12,1,1,6,131
2019-08-28,105,28,12,1,1,5,176
2019-08-29,59,28,14,1,1,6,152
2019-08-30,53,35,9,1,1,5,144
2019-08-31,50,26,8,1,1,5,136
2019-09-01,41,24,7,1,1,6,114
2019-09-02,40,25,8,1,1,7,112
2019-09-03,53,22,7,1,1,6,144
2019-09-04,71,20,6,1,1,6,159
2019-09-05,46,18,6,1,1,6,126
2019-09-06,53,25,8,1,1,6,144
2019-09-07,60,27,11,1,1,6,153
2019-09-08,51,28,9,1,1,6,139
2019-09-09,52,25,10,1,1,5,141
2019-09-10,46,26,9,1,1,5,126
2019-09-11,49,29,9,1,1,7,134
2019-09-12,50,30,15,1,1,6,136
2019-09-13,60,28,12,1,1,6,153
